vrsta	lokacija	obr	swc	gostota	pF2	pF4.2	aw	LAI_jul	LAI_avg	NDVI_jul	GNDVI_jul	NDRE_jul	NDVI_avg	GNDVI_avg	NDRE_avg	X	Y
1	1	1_1	0.2827	1.426166667	0.37305	0.228613576	0.144436424	3.278156723	2.3345	0.901772547	0.822753742	0.652545611	0.811801475	0.750314464	0.555705237	36	180
1	2	1_2	0.343333333	1.463333333	0.4365	0.263675214	0.172824786	2.363014407	1.890485	0.889168811	0.81563543	0.640571585	0.745519993	0.71024274	0.507543128	36	160
1	3	1_3	0.3209	1.3896	0.4364	0.256961757	0.179438243	2.658973668	1.816295	0.886620518	0.806746878	0.628617507	0.723163188	0.692042839	0.478491951	36	140
1	4	1_4	0.354066667	1.4578	0.41085	0.285290762	0.125559238	3.122801041	2.08149	0.888607569	0.808065028	0.624526196	0.726171435	0.690891762	0.47425446	36	120
1	5	1_5	0.340466667	1.478766667	0.399	0.286321878	0.112678122	1.83456842	1.56927	0.893932172	0.812359442	0.632360348	0.73409317	0.691810869	0.480880867	36	100
1	6	1_6	0.350066667	1.470533333	0.38395	0.216967428	0.166982572	3.389729442	2.29345	0.901242037	0.823606068	0.651821418	0.782537534	0.723343575	0.518267826	36	80
1	7	1_7	0.2915	1.536633333	0.3373	0.190487481	0.146812519	2.788968179	2.258115	0.902717936	0.827538956	0.660595551	0.769176638	0.721600664	0.518321423	36	60
1	8	1_8	0.272266667	1.507366667	0.34055	0.187479612	0.153070388	3.081111372	2.14004	0.894108706	0.812926249	0.636216096	0.750534032	0.706630428	0.506041902	36	40
1	9	1_9	0.293733333	1.490866667	0.36015	0.198750799	0.161399201	2.606219347	2.14247	0.88754297	0.816023276	0.644117432	0.737767888	0.694005413	0.492326949	36	20
1	10	1_10	0.338466667	1.5098	0.3677	0.209267305	0.158432695	2.108319605	1.67969	0.89633868	0.823084669	0.653473459	0.776559775	0.720358929	0.514570555	36	0
2	1	2_1	0.353933333	1.466666667	0.40425	0.246619179	0.157630821	2.382112082	2.025085	0.89252386	0.811489447	0.634853768	0.76586723	0.719240998	0.519490934	24	180
2	2	2_2	0.3568	1.3725	0.43295	0.25336318	0.17958682	2.731166848	1.874965	0.888129235	0.806879249	0.62659867	0.747467315	0.703995969	0.496539823	24	160
